CategoryID	CategoryCode	ParentCategoryCode	CategoryName	CategoryOKPD2	AttributeID	AttributeName	AttributeType								
51872	1225921	1225920	Материалы на основе полиэтилентерефталата	22.29.29.190	282493	Тип	Строковый								
51872	1225921	1225920	Материалы на основе полиэтилентерефталата	22.29.29.190	282492	Модель	Строковый								
51872	1225921	1225920	Материалы на основе полиэтилентерефталата	22.29.29.190	282491	Производитель	Строковый								
51872	1225921	1225920	Материалы на основе полиэтилентерефталата	22.29.29.190	282490	ОГРН	Строковый								
51872	1225921	1225920	Материалы на основе полиэтилентерефталата	22.29.29.190	282489	Страна производителя	Строковый								
51872	1225921	1225920	Материалы на основе полиэтилентерефталата	22.29.29.190	282488	Стандарт	Строковый								
51872	1225921	1225920	Материалы на основе полиэтилентерефталата	22.29.29.190	282487	Функции	Строковый								
51872	1225921	1225920	Материалы на основе полиэтилентерефталата	22.29.29.190	282501	Дополнительная информация	Строковый								
53615	1146995	1146990	Оголовки	25.99.29.190	241047	Назначение	Строковый								
53615	1146995	1146990	Оголовки	25.99.29.190	241046	Обозначение	Строковый								
53615	1146995	1146990	Оголовки	25.99.29.190	304844	Размер	Строковый								
53615	1146995	1146990	Оголовки	25.99.29.190	241045	ТУ	Строковый								
53615	1146995	1146990	Оголовки	25.99.29.190	241051	Описание	Строковый								
5715	1147001	1147000	Щетки дисковые с хвостовиком	25.11.23.119	218259	Торговая марка	Строковый								
5715	1147001	1147000	Щетки дисковые с хвостовиком	25.11.23.119	297652	Модель, серия	Строковый								
5715	1147001	1147000	Щетки дисковые с хвостовиком	25.11.23.119	207150	Назначение	Строковый								
5715	1147001	1147000	Щетки дисковые с хвостовиком	25.11.23.119	207149	Материал	Строковый								
5715	1147001	1147000	Щетки дисковые с хвостовиком	25.11.23.119	207148	Размеры	Строковый								
5715	1147001	1147000	Щетки дисковые с хвостовиком	25.11.23.119	218258	Количество жгутов	Строковый								
5715	1147001	1147000	Щетки дисковые с хвостовиком	25.11.23.119	207147	Дополнительная информация	Строковый								
5714	1147002	1147000	Люки металлические противопожарные	25.12.10.000	210136	Огестойкость	Строковый								
5714	1147002	1147000	Люки металлические противопожарные	25.12.10.000	210131	Модель	Строковый								
5714	1147002	1147000	Люки металлические противопожарные	25.12.10.000	210130	Размеры	Строковый								
5714	1147002	1147000	Люки металлические противопожарные	25.12.10.000	210129	Описание	Строковый								
5719	1147003	1147000	Двери металлические противопожарные	25.12.10.000	210135	Тип	Строковый								
5719	1147003	1147000	Двери металлические противопожарные	25.12.10.000	210134	Модель	Строковый								
5719	1147003	1147000	Двери металлические противопожарные	25.12.10.000	268486	Расположение навески	Строковый								
5719	1147003	1147000	Двери металлические противопожарные	25.12.10.000	210137	Огнестойкость	Строковый								
5719	1147003	1147000	Двери металлические противопожарные	25.12.10.000	210133	Размеры	Строковый								
5719	1147003	1147000	Двери металлические противопожарные	25.12.10.000	252949	Цвет	Строковый								
5719	1147003	1147000	Двери металлические противопожарные	25.12.10.000	268490	Вес	Числовой								
5719	1147003	1147000	Двери металлические противопожарные	25.12.10.000	268491	Комплектация 	Строковый								
5719	1147003	1147000	Двери металлические противопожарные	25.12.10.000	303125	Артикул	Строковый								
5719	1147003	1147000	Двери металлические противопожарные	25.12.10.000	210132	Особенности исполнения	Строковый								
5719	1147003	1147000	Двери металлические противопожарные	25.12.10.000	258522	Стандарт	Строковый								
5719	1147003	1147000	Двери металлические противопожарные	25.12.10.000	266917	Технические условия 	Строковый								
5709	1147004	1147000	Ограждения спиральные	25.93.13.112	211506	Наименование	Строковый								
5709	1147004	1147000	Ограждения спиральные	25.93.13.112	250565	Обозначение	Строковый								
5709	1147004	1147000	Ограждения спиральные	25.93.13.112	221410	Длина	Строковый								
5709	1147004	1147000	Ограждения спиральные	25.93.13.112	211505	Диаметр	Строковый								
5709	1147004	1147000	Ограждения спиральные	25.93.13.112	211504	Количество витков	Строковый								
5709	1147004	1147000	Ограждения спиральные	25.93.13.112	211503	Количество клепок	Строковый								
5709	1147004	1147000	Ограждения спиральные	25.93.13.112	211502	Описание	Строковый								
5709	1147004	1147000	Ограждения спиральные	25.93.13.112	237227	Стандарт	Строковый								
5709	1147004	1147000	Ограждения спиральные	25.93.13.112	304569	ТУ	Строковый								
5709	1147004	1147000	Ограждения спиральные	25.93.13.112	266397	Производитель	Строковый								
5709	1147004	1147000	Ограждения спиральные	25.93.13.112	304568	Страна производителя	Строковый								
5709	1147004	1147000	Ограждения спиральные	25.93.13.112	304567	ОГРН	Строковый								
5717	1147006	1147000	Щетки жгутовые дисковые без хвостовика	25.11.23.119	233383	Тип	Строковый								
5717	1147006	1147000	Щетки жгутовые дисковые без хвостовика	25.11.23.119	218257	Торговая марка	Строковый								
5717	1147006	1147000	Щетки жгутовые дисковые без хвостовика	25.11.23.119	297653	Модель, обозначение	Строковый								
5717	1147006	1147000	Щетки жгутовые дисковые без хвостовика	25.11.23.119	218256	Назначение	Строковый								
5717	1147006	1147000	Щетки жгутовые дисковые без хвостовика	25.11.23.119	218255	Материал	Строковый								
5717	1147006	1147000	Щетки жгутовые дисковые без хвостовика	25.11.23.119	218254	Размеры	Строковый								
5717	1147006	1147000	Щетки жгутовые дисковые без хвостовика	25.11.23.119	218253	Количество жгутов	Строковый								
5717	1147006	1147000	Щетки жгутовые дисковые без хвостовика	25.11.23.119	233388	Производитель	Строковый								
